ที่,รหัสสายทาง,อำเภอ,ชื่อสายทาง,ระยะทางรวม (กม.),ปีงบประมาณ 2561,,,ปีงบประมาณ 2562,,,ปีงบประมาณ 2563,,,,,,,,
,,,,,ข้อบัญญ้ติประจำปี (กม.),เงินอุดหนุน (กม.),"เงินสะสม , บำรุงซ่อมแซม (กม.)",ข้อบัญญ้ติประจำปี (กม.),เงินอุดหนุน (กม.),"เงินสะสม , บำรุงซ่อมแซม (กม.)",ข้อบัญญ้ติประจำปี (กม.),เงินอุดหนุน (กม.),"เงินสะสม , บำรุงซ่อมแซม (กม.)",สามารถใช้การได้ (กม.),ต้องได้รับการซ่อมแซม (กม.),ค่าพิกัดจุดเริ่มต้นสายทาง,ด่วพิกัดจุดสิ้นสุดสายทาง,ลิงค์ google map,
171,อบจ.นม.22303,หนองบุญมาก,บ.ซับตะคร้อ - บ.ท่าตะแบก,8.000,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  8.000 ," 14.712139,102.456840"," 14.792347,102.442516",คลิกที่นี้,
172,อบจ.นม.22204,หนองบุญมาก,บ.ใหม่อุดม - บ.พระ,5.100,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  2.000 ,  3.100 ," 14.732864,102.394139"," 14.774073,102.387875",คลิกที่นี้,
173,อบจ.นม.22305,หนองบุญมาก,บ.ลุงเขว้า - บ.สันติสุข,13.136,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  13.136 ," 14.812482,102.347004"," 14.793399,102.436502",คลิกที่นี้,
174,อบจ.นม.23101,แก้งสนามนาง,บ.ศูนย์กลาง - บ.โนนสำราญ,7.914,  -   ,  -   ,  0.485 ,  0.585 ,  -   ,  -   ,  0.620 ,  -   ,  -   ,  2.450 ,  3.774 ," 15.738026,102.273469"," 15.753482,102.328064",คลิกที่นี้,
175,อบจ.นม.23202,แก้งสนามนาง,บ.หนองขามนาดี - บ.พะไล,4.000,  -   ,  -   ,  0.200 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  2.000 ,  1.800 ," 15.703876,102.307154"," 15.680718,102.284373",คลิกที่นี้,
176,อบจ.นม.23203,แก้งสนามนาง,บ.นาแค - บ.หนองขามดี,5.111,  -   ,  -   ,  0.250 ,  -   ,  -   ,  -   ,  1.155 ,  -   ,  -   ,  1.620 ,  2.086 ," 15.734142,102.354005"," 15.709267,102.313332",คลิกที่นี้,
177,อบจ.นม.24301,โนนแดง,บ.สำโรงเหนือ - บ.สำพะเนียง,9.603,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  0.315 ,  -   ,  9.288 ," 15.524466,102.542735"," 15.453321,102.587009",คลิกที่นี้,
178,อบจ.นม.25301,วังน้ำเขียว,บ.บุตะโก - บ.หนองไม้สัก,7.700,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  7.700 ," 14.422224,101.862361"," 14.466709,101.792566",คลิกที่นี้,
179,อบจ.นม.25302,วังน้ำเขียว,บ.บะใหญ่ - บ.โคกสะแกราช,10.829,  -   ,  -   ,  0.487 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  10.342 ," 14.558250,101.977018"," 14.561556,102.004019",คลิกที่นี้,
180,อบจ.นม.25303,วังน้ำเขียว,แยก ทล.304 - บ.ซับก้านเหลือง,3.500,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  3.500 ," 14.558354,101.975867"," 14.561299,102.000602",คลิกที่นี้,
181,อบจ.นม.25304,วังน้ำเขียว,บ.วังน้ำเขียว - บ.ตลิ่งชัน,0.650,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  0.650 ,"14.513176,101.958055","14.509688,101.962842",คลิกที่นี้,
182,อบจ.นม.26201,เทพารักษ์,ด่านขุนทด - หนองแวง,24.475,  -   ,  -   ,  0.520 ,  -   ,  -   ,  -   ,  -   ,  -   ,  0.535 ,  17.035 ,  6.385 ,"15.230373,101.537182","15.207493,101.766214",คลิกที่นี้,
183,อบจ.นม.26203,เทพารักษ์,บ.ชุมชนพัฒนา - บ.หนองแวง,6.948,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  5.140 ,  -   ,  -   ,  -   ,  1.808 ,"15.285435,101.569252","15.2311016,101.537016",คลิกที่นี้,
184,อบจ.นม.27201,เมืองยาง,บ.โนนละกอ - บ.ปลักแรต ,6.454,  -   ,  -   ,  0.524 ,  -   ,  -   ,  -   ,  -   ,  -   ,  0.175 ,  -   ,  5.755 ,"15.470264,102.940106","15.500290,102.896601",คลิกที่นี้,
185,อบจ.นม.27302,เมืองยาง,บ.เมืองยาง - บ.กระเบื้องนอก,9.196,  -   ,  -   ,  0.620 ,  -   ,  -   ,  -   ,  0.841 ,  -   ,  0.175 ,  -   ,  7.560 ,"15.420070,102.890190","15.448475,102.966452",คลิกที่นี้,
186,อบจ.นม.27303,เมืองยาง,บ.หนองสะแก - บ.เมืองยาง,7.375,  -   ,  -   ,  0.520 ,  -   ,  -   ,  -   ,  -   ,  3.345 ,  0.165 ,  -   ,  3.345 ,"15.419685,102.888016","15.356544,102.880652",คลิกที่นี้,
187,อบจ.นม.27304,เมืองยาง,บ.โนนละกอ - บ.เขว้า ,3.000,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  3.000 ,"15.470264,102.940106","15.456787,102.962586",คลิกที่นี้,
188,อบจ.นม.12205,บัวลาย,บ.หนองบัวลาย - บ.หนองแดงน้อย,9.442,  -   ,  -   ,  -   ,  0.195 ,  -   ,  -   ,  0.565 ,  -   ,  0.160 ,  -   ,  8.522 ,"15.657569,102.498082","15.639394,102.562188",คลิกที่นี้,
189,อบจ.นม.30301,พระทองคำ,บ.กุดไผ่ - บ.หนองเขว้า,0.410,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  0.290 ,  0.120 ,"15.366141,101.969744","15.370240,101.958623",คลิกที่นี้,
190,อบจ.นม.30302,พระทองคำ,แยกทางหลวงหมายเลข 205 - บ.กุดไผ่,3.000,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  3.000 ,  -   ,"15.360159,101.972028","15.350690,101.988464",คลิกที่นี้,
191,อบจ.นม.32301,เฉลิมพระเกียรติ,บ.โนนเลียบ - บ.หนองยาง,7.369,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  7.369 ,"14.992467,102.268206","14.935790,102.253634",คลิกที่นี้,
192,อบจ.นม.32202,เฉลิมพระเกียรติ,บ.โนนหมัน - บ.มะดัน,11.050,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  2.370 ,  -   ,  -   ,  -   ,  8.680 ,"15.074033,102.216883","15.015594,102.262555",คลิกที่นี้,
193,อบจ.นม.32203,เฉลิมพระเกียรติ,บ.ด่านกะตา - บ.โสง,2.700,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  2.700 ,"14.968192,102.236288","14.956439,102.261111",คลิกที่นี้,
194,อบจ.นม.32204,เฉลิมพระเกียรติ,บ.หนองโจด - บ.โนนมันเทศ,6.085,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  6.085 ,"15.075739,102.292867","15.041520,102.286561",คลิกที่นี้,
,,,รวมระยะทาง,"1,221.424",  18.406 ,  -   ,  37.964 ,  4.785 ,  -   ,  2.215 ,  75.530 ,  12.161 ,  12.605 ,  135.543 ,925.922,,,,
