ที่,รหัสสายทาง,อำเภอ,ชื่อสายทาง,ระยะทางรวม (กม.),ปีงบประมาณ 2561,,,ปีงบประมาณ 2562,,,ปีงบประมาณ 2563,,,,,,,,
,,,,,ข้อบัญญ้ติประจำปี (กม.),เงินอุดหนุน (กม.),"เงินสะสม , บำรุงซ่อมแซม (กม.)",ข้อบัญญ้ติประจำปี (กม.),เงินอุดหนุน (กม.),"เงินสะสม , บำรุงซ่อมแซม (กม.)",ข้อบัญญ้ติประจำปี (กม.),เงินอุดหนุน (กม.),"เงินสะสม , บำรุงซ่อมแซม (กม.)",สามารถใช้การได้ (กม.),ต้องได้รับการซ่อมแซม (กม.),ค่าพิกัดจุดเริ่มต้นสายทาง,ด่วพิกัดจุดสิ้นสุดสายทาง,ลิงค์ google map,
31,อบจ.นม.04201,คง,บ.โนนปอแดง - บ.โนนเต็ง,18.700,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  7.100 ,  11.600 ," 15.525455,102.133177"," 15.487733,102.240990",คลิกที่นี้,
32,อบจ.นม.04302,คง,บ.คงถาวร - บ.คงสามัคคี,6.339,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  6.339 ," 15.446188,102.388445","15.446856,102.334543",คลิกที่นี้,
33,อบจ.นม.04203,คง,บ.ตะโก - บ.โคกตะพาบ,2.000,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  0.210 ,  -   ,  1.790 ," 15.306020,102.348953","15.289365,102.346432",คลิกที่นี้,
34,อบจ.นม.04204,คง,บ.หนองบง - บ.สี่เหลี่ยม,1.670,  -   ,  -   ,  0.168 ,  -   ,  -   ,  -   ,  -   ,  -   ,  0.240 ,  -   ,  1.262 ," 15.422469,102.360164","15.409096,102.361459",คลิกที่นี้,
35,อบจ.นม.04305,คง,โครงการศึกษาทดลองแก้ปัญหาดินเค็ม,6.843,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  0.305 ,  -   ,  0.185 ,  -   ,  6.353 ," 15.315906,102.430461"," 15.305745,102.370851",คลิกที่นี้,
36,อบจ.นม.04306,คง,บ.ตะโก - บ.ช่อระกา,7.000,  -   ,  -   ,  0.341 ,  -   ,  -   ,  -   ,  0.295 ,  -   ,  -   ,  -   ,  6.364 ," 15.524630,102.111600","15.555482,102.068956",คลิกที่นี้,
37,อบจ.นม.04307,คง,บ.ตากิ่ม - บ.ดอนทะแยง,4.500,  -   ,  -   ,  0.530 ,  -   ,  -   ,  -   ,  0.295 ,  -   ,  0.375 ,  -   ,  3.300 ,"15.477020,102.144504","15.472479,102.106539",คลิกที่นี้,
38,อบจ.นม.04308,คง,บ.งิ้ว - บ.โนนแดง,3.000,  -   ,  -   ,  0.505 ,  -   ,  -   ,  -   ,  1.200 ,  -   ,  0.270 ,  -   ,  1.025 ,"15.431619,102.429618","15.448179,102.440992",คลิกที่นี้,
39,อบจ.นม.04309,คง,เทศบาลเมืองคง - บ.ไร่,8.000,  -   ,  -   ,  0.127 ,  -   ,  -   ,  -   ,  1.200 ,  -   ,  -   ,  -   ,  6.673 ,"15.449522,102.336183","15.420031,102.383169",คลิกที่นี้,
40,อบจ.นม.05201,บ้านเหลื่อม,บ.เหลื่อม - บ.กุดเวียน,7.130,  -   ,  -   ,  1.180 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  5.950 ,"15.603479,102.083590","15.632726,102.059132",คลิกที่นี้,
